fecha,departamento,codigo_departamento,municipio,codigo_municipio,poblacion,casos
2020/09/02,GUATEMALA,01,GUATEMALA,0101,1205668,129
2020/09/03,GUATEMALA,01,GUATEMALA,0101,1205668,117
2020/09/04,GUATEMALA,01,GUATEMALA,0101,1205668,97
2020/09/05,GUATEMALA,01,GUATEMALA,0101,1205668,34
2020/09/06,GUATEMALA,01,GUATEMALA,0101,1205668,25
2020/09/07,GUATEMALA,01,GUATEMALA,0101,1205668,147
2020/09/08,GUATEMALA,01,GUATEMALA,0101,1205668,186
2020/09/09,GUATEMALA,01,GUATEMALA,0101,1205668,143
2020/09/10,GUATEMALA,01,GUATEMALA,0101,1205668,100
2020/09/11,GUATEMALA,01,GUATEMALA,0101,1205668,75
2020/09/12,GUATEMALA,01,GUATEMALA,0101,1205668,44
2020/09/13,GUATEMALA,01,GUATEMALA,0101,1205668,25
2020/09/14,GUATEMALA,01,GUATEMALA,0101,1205668,77
2020/09/15,GUATEMALA,01,GUATEMALA,0101,1205668,25
2020/09/16,GUATEMALA,01,GUATEMALA,0101,1205668,104
2020/09/17,GUATEMALA,01,GUATEMALA,0101,1205668,118
2020/09/18,GUATEMALA,01,GUATEMALA,0101,1205668,127
2020/09/19,GUATEMALA,01,GUATEMALA,0101,1205668,40
2020/09/20,GUATEMALA,01,GUATEMALA,0101,1205668,36
2020/09/21,GUATEMALA,01,GUATEMALA,0101,1205668,119
2020/09/22,GUATEMALA,01,GUATEMALA,0101,1205668,153
2020/09/23,GUATEMALA,01,GUATEMALA,0101,1205668,72
2020/09/24,GUATEMALA,01,GUATEMALA,0101,1205668,123
2020/09/25,GUATEMALA,01,GUATEMALA,0101,1205668,159
2020/09/26,GUATEMALA,01,GUATEMALA,0101,1205668,96
2020/09/27,GUATEMALA,01,GUATEMALA,0101,1205668,28
2020/09/28,GUATEMALA,01,GUATEMALA,0101,1205668,112
2020/09/29,GUATEMALA,01,GUATEMALA,0101,1205668,102
2020/09/30,GUATEMALA,01,GUATEMALA,0101,1205668,110
2020/10/01,GUATEMALA,01,GUATEMALA,0101,1205668,110
2020/10/02,GUATEMALA,01,GUATEMALA,0101,1205668,115
2020/10/03,GUATEMALA,01,GUATEMALA,0101,1205668,38
2020/10/04,GUATEMALA,01,GUATEMALA,0101,1205668,48
2020/10/05,GUATEMALA,01,GUATEMALA,0101,1205668,113
2020/10/06,GUATEMALA,01,GUATEMALA,0101,1205668,133
2020/10/07,GUATEMALA,01,GUATEMALA,0101,1205668,141
2020/10/08,GUATEMALA,01,GUATEMALA,0101,1205668,60
2020/10/09,GUATEMALA,01,GUATEMALA,0101,1205668,128
2020/10/10,GUATEMALA,01,GUATEMALA,0101,1205668,37
2020/10/11,GUATEMALA,01,GUATEMALA,0101,1205668,22
2020/10/12,GUATEMALA,01,GUATEMALA,0101,1205668,118
2020/10/13,GUATEMALA,01,GUATEMALA,0101,1205668,127
2020/10/14,GUATEMALA,01,GUATEMALA,0101,1205668,145
2020/10/15,GUATEMALA,01,GUATEMALA,0101,1205668,95
2020/10/16,GUATEMALA,01,GUATEMALA,0101,1205668,62
2020/10/17,GUATEMALA,01,GUATEMALA,0101,1205668,149
2020/10/18,GUATEMALA,01,GUATEMALA,0101,1205668,60
2020/10/19,GUATEMALA,01,GUATEMALA,0101,1205668,106
2020/10/20,GUATEMALA,01,GUATEMALA,0101,1205668,9
2020/10/21,GUATEMALA,01,GUATEMALA,0101,1205668,125
2020/10/22,GUATEMALA,01,GUATEMALA,0101,1205668,112
2020/10/23,GUATEMALA,01,GUATEMALA,0101,1205668,124
2020/10/24,GUATEMALA,01,GUATEMALA,0101,1205668,39
2020/10/25,GUATEMALA,01,GUATEMALA,0101,1205668,27
2020/10/26,GUATEMALA,01,GUATEMALA,0101,1205668,123
2020/10/27,GUATEMALA,01,GUATEMALA,0101,1205668,161
2020/10/28,GUATEMALA,01,GUATEMALA,0101,1205668,120
2020/10/29,GUATEMALA,01,GUATEMALA,0101,1205668,126
2020/10/30,GUATEMALA,01,GUATEMALA,0101,1205668,138
2020/10/31,GUATEMALA,01,GUATEMALA,0101,1205668,30
2020/11/01,GUATEMALA,01,GUATEMALA,0101,1205668,20
2020/11/02,GUATEMALA,01,GUATEMALA,0101,1205668,84
2020/11/03,GUATEMALA,01,GUATEMALA,0101,1205668,146
2020/11/04,GUATEMALA,01,GUATEMALA,0101,1205668,132
2020/11/05,GUATEMALA,01,GUATEMALA,0101,1205668,121
2020/11/06,GUATEMALA,01,GUATEMALA,0101,1205668,127
2020/11/07,GUATEMALA,01,GUATEMALA,0101,1205668,59
2020/11/08,GUATEMALA,01,GUATEMALA,0101,1205668,25
2020/11/09,GUATEMALA,01,GUATEMALA,0101,1205668,114
2020/11/10,GUATEMALA,01,GUATEMALA,0101,1205668,153
2020/11/11,GUATEMALA,01,GUATEMALA,0101,1205668,163
2020/11/12,GUATEMALA,01,GUATEMALA,0101,1205668,156
2020/11/13,GUATEMALA,01,GUATEMALA,0101,1205668,124
2020/11/14,GUATEMALA,01,GUATEMALA,0101,1205668,36
2020/11/15,GUATEMALA,01,GUATEMALA,0101,1205668,16
2020/11/16,GUATEMALA,01,GUATEMALA,0101,1205668,200
2020/11/17,GUATEMALA,01,GUATEMALA,0101,1205668,131
2020/11/18,GUATEMALA,01,GUATEMALA,0101,1205668,126
2020/11/19,GUATEMALA,01,GUATEMALA,0101,1205668,191
2020/11/20,GUATEMALA,01,GUATEMALA,0101,1205668,174
2020/11/21,GUATEMALA,01,GUATEMALA,0101,1205668,32
2020/11/22,GUATEMALA,01,GUATEMALA,0101,1205668,19
2020/11/23,GUATEMALA,01,GUATEMALA,0101,1205668,151
2020/11/24,GUATEMALA,01,GUATEMALA,0101,1205668,149
2020/11/25,GUATEMALA,01,GUATEMALA,0101,1205668,140
2020/11/26,GUATEMALA,01,GUATEMALA,0101,1205668,114
2020/11/27,GUATEMALA,01,GUATEMALA,0101,1205668,164
2020/11/28,GUATEMALA,01,GUATEMALA,0101,1205668,46
2020/11/29,GUATEMALA,01,GUATEMALA,0101,1205668,24
2020/11/30,GUATEMALA,01,GUATEMALA,0101,1205668,175
2020/12/01,GUATEMALA,01,GUATEMALA,0101,1205668,151
2020/12/02,GUATEMALA,01,GUATEMALA,0101,1205668,91
2020/12/03,GUATEMALA,01,GUATEMALA,0101,1205668,195
2020/12/04,GUATEMALA,01,GUATEMALA,0101,1205668,155
2020/12/05,GUATEMALA,01,GUATEMALA,0101,1205668,48
2020/12/06,GUATEMALA,01,GUATEMALA,0101,1205668,28
2020/12/07,GUATEMALA,01,GUATEMALA,0101,1205668,163
2020/12/08,GUATEMALA,01,GUATEMALA,0101,1205668,170
2020/12/09,GUATEMALA,01,GUATEMALA,0101,1205668,155
2020/12/10,GUATEMALA,01,GUATEMALA,0101,1205668,183
2020/12/11,GUATEMALA,01,GUATEMALA,0101,1205668,148
2020/12/12,GUATEMALA,01,GUATEMALA,0101,1205668,43
2020/12/13,GUATEMALA,01,GUATEMALA,0101,1205668,29
2020/12/14,GUATEMALA,01,GUATEMALA,0101,1205668,153
2020/12/15,GUATEMALA,01,GUATEMALA,0101,1205668,244
2020/12/16,GUATEMALA,01,GUATEMALA,0101,1205668,176
2020/12/17,GUATEMALA,01,GUATEMALA,0101,1205668,170
2020/12/18,GUATEMALA,01,GUATEMALA,0101,1205668,135
2020/12/19,GUATEMALA,01,GUATEMALA,0101,1205668,54
2020/12/20,GUATEMALA,01,GUATEMALA,0101,1205668,35
2020/12/21,GUATEMALA,01,GUATEMALA,0101,1205668,237
2020/12/22,GUATEMALA,01,GUATEMALA,0101,1205668,214
2020/12/23,GUATEMALA,01,GUATEMALA,0101,1205668,174
2020/12/24,GUATEMALA,01,GUATEMALA,0101,1205668,57
2020/12/25,GUATEMALA,01,GUATEMALA,0101,1205668,21
2020/12/26,GUATEMALA,01,GUATEMALA,0101,1205668,74
2020/12/27,GUATEMALA,01,GUATEMALA,0101,1205668,38
2020/12/28,GUATEMALA,01,GUATEMALA,0101,1205668,269
2020/12/29,GUATEMALA,01,GUATEMALA,0101,1205668,242
2020/12/30,GUATEMALA,01,GUATEMALA,0101,1205668,266
2020/12/31,GUATEMALA,01,GUATEMALA,0101,1205668,75
2021/01/01,GUATEMALA,01,GUATEMALA,0101,1205668,22
2021/01/02,GUATEMALA,01,GUATEMALA,0101,1205668,57
2021/01/03,GUATEMALA,01,GUATEMALA,0101,1205668,57
2021/01/04,GUATEMALA,01,GUATEMALA,0101,1205668,291
2021/01/05,GUATEMALA,01,GUATEMALA,0101,1205668,236
2021/01/06,GUATEMALA,01,GUATEMALA,0101,1205668,291
2021/01/07,GUATEMALA,01,GUATEMALA,0101,1205668,375
2021/01/08,GUATEMALA,01,GUATEMALA,0101,1205668,363
2021/01/09,GUATEMALA,01,GUATEMALA,0101,1205668,87
2021/01/10,GUATEMALA,01,GUATEMALA,0101,1205668,41
2021/01/11,GUATEMALA,01,GUATEMALA,0101,1205668,338
2021/01/12,GUATEMALA,01,GUATEMALA,0101,1205668,278
2021/01/13,GUATEMALA,01,GUATEMALA,0101,1205668,276
2021/01/14,GUATEMALA,01,GUATEMALA,0101,1205668,295
2021/01/15,GUATEMALA,01,GUATEMALA,0101,1205668,302
2021/01/16,GUATEMALA,01,GUATEMALA,0101,1205668,120
2021/01/17,GUATEMALA,01,GUATEMALA,0101,1205668,82
2021/01/18,GUATEMALA,01,GUATEMALA,0101,1205668,419
2021/01/19,GUATEMALA,01,GUATEMALA,0101,1205668,298
2021/01/20,GUATEMALA,01,GUATEMALA,0101,1205668,360
2021/01/21,GUATEMALA,01,GUATEMALA,0101,1205668,285
2021/01/22,GUATEMALA,01,GUATEMALA,0101,1205668,311
2021/01/23,GUATEMALA,01,GUATEMALA,0101,1205668,122
2021/01/24,GUATEMALA,01,GUATEMALA,0101,1205668,62
2021/01/25,GUATEMALA,01,GUATEMALA,0101,1205668,322
2021/01/26,GUATEMALA,01,GUATEMALA,0101,1205668,276
2021/01/27,GUATEMALA,01,GUATEMALA,0101,1205668,256
2021/01/28,GUATEMALA,01,GUATEMALA,0101,1205668,218
2021/01/29,GUATEMALA,01,GUATEMALA,0101,1205668,191
2021/01/30,GUATEMALA,01,GUATEMALA,0101,1205668,166
2021/01/31,GUATEMALA,01,GUATEMALA,0101,1205668,26
2021/02/01,GUATEMALA,01,GUATEMALA,0101,1205668,259
2021/02/02,GUATEMALA,01,GUATEMALA,0101,1205668,151
2021/02/03,GUATEMALA,01,GUATEMALA,0101,1205668,229
2021/02/04,GUATEMALA,01,GUATEMALA,0101,1205668,223
2021/02/05,GUATEMALA,01,GUATEMALA,0101,1205668,170
2021/02/06,GUATEMALA,01,GUATEMALA,0101,1205668,77
2021/02/07,GUATEMALA,01,GUATEMALA,0101,1205668,16
2021/02/08,GUATEMALA,01,GUATEMALA,0101,1205668,260
2021/02/09,GUATEMALA,01,GUATEMALA,0101,1205668,215
2021/02/10,GUATEMALA,01,GUATEMALA,0101,1205668,245
2021/02/11,GUATEMALA,01,GUATEMALA,0101,1205668,199
2021/02/12,GUATEMALA,01,GUATEMALA,0101,1205668,252
2021/02/13,GUATEMALA,01,GUATEMALA,0101,1205668,34
2021/02/14,GUATEMALA,01,GUATEMALA,0101,1205668,31
2021/02/15,GUATEMALA,01,GUATEMALA,0101,1205668,175
2021/02/16,GUATEMALA,01,GUATEMALA,0101,1205668,233
2021/02/17,GUATEMALA,01,GUATEMALA,0101,1205668,224
2021/02/18,GUATEMALA,01,GUATEMALA,0101,1205668,179
2021/02/19,GUATEMALA,01,GUATEMALA,0101,1205668,182
2021/02/20,GUATEMALA,01,GUATEMALA,0101,1205668,35
2021/02/21,GUATEMALA,01,GUATEMALA,0101,1205668,20
2021/02/22,GUATEMALA,01,GUATEMALA,0101,1205668,230
2021/02/23,GUATEMALA,01,GUATEMALA,0101,1205668,156
2021/02/24,GUATEMALA,01,GUATEMALA,0101,1205668,178
2021/02/25,GUATEMALA,01,GUATEMALA,0101,1205668,182
2021/02/26,GUATEMALA,01,GUATEMALA,0101,1205668,126
2021/02/27,GUATEMALA,01,GUATEMALA,0101,1205668,27
2021/02/28,GUATEMALA,01,GUATEMALA,0101,1205668,21
2021/03/01,GUATEMALA,01,GUATEMALA,0101,1205668,151
2021/03/02,GUATEMALA,01,GUATEMALA,0101,1205668,160
2021/03/03,GUATEMALA,01,GUATEMALA,0101,1205668,141
2021/03/04,GUATEMALA,01,GUATEMALA,0101,1205668,162
